source,target,language_pair,legal_category,legal_entity
"In order to establish a high level of transparency by all appropriate means, the Commission shall ensure that the information it receives relating to national provisions is also communicated to consumers and insurance intermediaries.","Um mit allen geeigneten Mitteln ein hohes Maß an Transparenz zu schaffen, sorgt die Kommission dafür, dass die ihr zugeleiteten Informationen über die einzelstaatlichen Vorschriften auch den Verbrauchern und den Versicherungsvermittlern mitgeteilt werden.",en-de,Administrative Law,"commission, insurance, information, order"
Chamusca,Chamusca,en-de,Administrative Law,
"if the arbitrators determine that the notified oenological practice, process or modification fulfils the requirements set out in Article 6(2)(a) and (b), the Contracting Parties shall amend the relevant paragraph of Annex I to add the oenological practice or process within 90 days of the date of such determination;","Entscheiden die Schiedsrichter, dass das übermittelte önologische Verfahren, die önologische Behandlung oder die Änderung den Anforderungen des Artikels 6 Absatz 2 Buchstaben a) und b) entspricht, so ändern die Parteien den entsprechenden Absatz des Anhangs I, um das önologische Verfahren bzw. die önologische Behandlung innerhalb von 90 Tagen nach dem Zeitpunkt dieser Entscheidung hinzuzufügen.",en-de,Administrative Law,"process, practice, modification, article, amend, set, relevant"
"For direct and indirect action in the field of research, referred to in Article 229(2) to (5), the procedure for transfers of appropriations for the financial year 2003 shall be governed by the first and second paragraphs of Article 95 of the Financial Regulation of 21 December 1977.",Für die direkten und indirekten Aktionen gemäß Artikel 229 Absätze 2 bis 5 im Bereich Forschung wird das Verfahren für die Übertragung von Mitteln des Haushaltsjahres 2003 durch Artikel 95 Absätze 1 und 2 der Haushaltsordnung vom 21. Dezember 1977 geregelt.,en-de,Administrative Law,"article, regulation, procedure"
"Quaternary ammonium compounds, trimethylsoya alkyl, chlorides","Quaternäre Ammoniumverbindungen, Trimethylsojaalkyl-, Chloride",en-de,Administrative Law,
"An enterprise's costing systems can often measure reliably the cost of generating an intangible asset internally, such as salary and other expenditure incurred in securing copyrights or licences or developing computer software.","Die Kostenrechnungssysteme eines Unternehmens können oftmals die Kosten für die Selbstschaffung eines immateriellen Vermögenswertes verlässlich ermitteln, wie beispielsweise Gehälter und sonstige Ausgaben, die bei der Sicherung von Urheberrechten oder Lizenzen oder bei der Entwicklung von Computersoftware anfallen.",en-de,Intellectual Property (IP),asset
"""Article 154a","""Artikel 154a",en-de,Legal Theory & Latin Terms,article
"An alarm system controlled by an ""off/on"" switch must be available to the steersman.",Der Rudergänger muß in Reichweite einen Ein-/Aus-Schalter für ein Alarmsignal haben.,en-de,Administrative Law,
"In order to submit a tender or a request to participate, these groups may not be required by the contracting entities to assume a specific legal form;","Die Auftraggeber können nicht verlangen, dass nur Gruppen von Wirtschaftsteilnehmern, die eine bestimmte Rechtsform haben, ein Angebot oder einen Antrag auf Teilnahme einreichen können;",en-de,Contract Law,"participate, submit, order, tender, request, assume"
or having only sufficient motive power to perform short manoeuvres when not part of a pushed train of craft;,"mit eigener Triebkraft, die nur erlaubt, außerhalb eines Schubverbandes kleine Ortsveränderungen vorzunehmen;",en-de,Contract Law,"perform, motive"
"If the Commission receives a request from a Member State, it shall take a decision thereon within 24 hours following receipt thereof.","Ist die Kommission mit einem Antrag eines Mitgliedstaats befaßt worden, so entscheidet sie hierüber innerhalb vierundzwanzig Stunden nach Eingang des Antrags.",en-de,Administrative Law,"state, member, receipt, commission, decision, request"
PREPARATION OF THE STANDARD SERIES AND OF THE EXTRACT,Herstellung von Standard- und Extraktreihen,en-de,Administrative Law,
"Before 15 September each year Member States shall notify to the Commission the action they have taken under paragraphs 1 and 2 and the outcome of execution of the plan.""","Die Mitgliedstaaten teilen der Kommission jedes Jahr vor dem 15. September die nach Maßgabe der Absätze 1 und 2 erlassenen Maßnahmen sowie die Ergebnisse des durchgeführten Plans mit.""",en-de,Administrative Law,"member, commission, execution"
"either by the Member States pursuant to the Protocol on the Privileges and Immunities of the European Communities, provided that it applies to the Community body;","die Erstattung entweder von den Mitgliedstaaten aufgrund des Protokolls über die Vorrechte und Befreiungen der Europäischen Gemeinschaften, sofern dieses Protokoll auch auf die Gemeinschaftseinrichtung Anwendung findet, vorgenommen wird,",en-de,Evidence Law,"member, protocol"
the Member State as defined by its statistical territory from which goods are dispatched to a destination in another Member State;,"der Mitgliedstaat, definiert als sein statistisches Erhebungsgebiet, von dem aus Waren an einen Bestimmungsort in einem anderen Mitgliedstaat versandt werden;",en-de,Administrative Law,"member, goods, state"
Behring.,Behring.,en-de,Administrative Law,
Each analyser shall be calibrated as often as necessary to fulfil the accuracy requirements of this standard.,"Jedes Analysegerät ist so oft wie nötig zu kalibrieren, damit es den in diesem Standard festgelegten Anforderungen an die Genauigkeit entspricht.",en-de,Administrative Law,
Member States shall ensure that the measures applied in the protection zone are maintained until the following requirements have been met:,"Die Mitgliedstaaten erhalten die Maßnahmen in der Schutzzone aufrecht, bis folgende Bedingungen erfuellt sind:",en-de,Administrative Law,member
state that submission of the tender implies acceptance of the specifications and of the general terms and conditions referred to in paragraph 1 to which the tender relates and that this submission binds the contractor to whom the contract is awarded during performance of the contract;,"den Hinweis, dass mit der Abgabe eines Angebots sowohl die Verdingungsunterlagen als auch die Verdingungsordnung gemäß Absatz 1 akzeptiert werden; der Bieter ist, falls er den Zuschlag erhält, während der Ausführung des Auftrags durch sein Angebot gebunden;",en-de,Contract Law,"acceptance, state, contractor, contract, tender, performance"
PROGRAMME OF ACTIVITIES,TÄTIGKEITSPROGRAMM,en-de,Administrative Law,
"Regulation (EC) No 1734/94 should be reviewed by the European Parliament and the Council before the end of 2005 in order to take account of developments in the area, in particular with regard to the implementation of the roadmap for peace (Elements of a performance-based road map to a permanent two-state solution to the Israeli-Palestinian conflict).","Die Verordnung (EG) Nr. 1734/94 sollte vom Europäischen Parlament und vom Rat bis spätestens Ende 2005 überprüft werden, um der Entwicklung in der Region Rechnung zu tragen, namentlich mit Blick auf die Umsetzung des Fahrplans für den Frieden (Elemente eines ergebnisorientierten Fahrplans für eine dauerhafte Zwei-Staaten-Regelung zur Beilegung des israelisch-palästinensischen Konflikts).",en-de,Administrative Law,"regulation, state, order, account, performance"
"Information received in the framework of supplementary supervision, and in particular any exchange of information between competent authorities and between competent authorities and other authorities which is provided for in this Directive, shall be subject to the provisions on professional secrecy and communication of confidential information laid down in the sectoral rules.",Die im Rahmen der zusätzlichen Beaufsichtigung erlangten Informationen und insbesondere der in dieser Richtlinie vorgesehene Informationsaustausch mit anderen zuständigen und sonstigen Behörden unterliegen den Bestimmungen der Branchenvorschriften über das Berufsgeheimnis und die Weitergabe vertraulicher Informationen.,en-de,Tax & Financial Regulation,"rules, competent, information, exchange"
"In addition, activities intended to integrate consumer interests into other areas of activity in accordance with Article 153 of the Treaty should be given high priority together with the three key objectives of the consumer policy strategy.","Außerdem sollte Tätigkeiten, die dazu dienen, die Verbraucherinteressen in Übereinstimmung mit Artikel 153 des Vertrags in die anderen Politikbereiche zu integrieren, zusammen mit den drei Hauptzielen der verbraucherpolitischen Strategie ein hoher Stellenwert eingeräumt werden.",en-de,International Law,"policy, article, priority, treaty"
"Independent producers of electricity pursuant to Decree-Law No 189/88 of 27 May 1988, as amended by Decree-Laws No 168/99 of 18 May 1999, No 313/95 of 24 November 1995, No 312/2001 of 10 December 2001 and No 339-C/2001 of 29 December 2001.","Unabhängige Erzeuger von elektrischem Strom gemäß dem Decreto-Lei nº 189/88 vom 27. Mai 1988, geändert durch die Decretos-Lei nº 168/99 vom 18. Mai 1999, nº 313/95 vom 24. November 1995, nº 312/2001 vom 10. Dezember 2001 und nº 339-C/2001 vom 29. Dezember 2001",en-de,Administrative Law,"law, decree"
Measures should be taken to ensure that existing authorisations for plant protection products containing amitraz are withdrawn within a prescribed period and are not renewed and that no new authorisations for such products are granted.,"Es sollten Maßnahmen getroffen werden, um sicherzustellen, dass bestehende Zulassungen für Amitraz enthaltende Pflanzenschutzmittel innerhalb eines vorgeschriebenen Zeitraums widerrufen und nicht verlängert werden und keine neuen Zulassungen für derartige Mittel erteilt werden.",en-de,Administrative Law,
"revised forecasts of such expenditure for subsequent financial years until the end of the programming period concerned, keeping within the allocation for each Member State.",die revidierten Ausgabenplanungen für die folgenden Haushaltsjahre bis zum Ende des betreffenden Programmplanungszeitraums unter Berücksichtigung der jedem einzelnen Mitgliedstaat zugewiesenen Mittel.,en-de,Administrative Law,"member, state"
6 procedures for evacuation in case of security threats or breaches of security;.,6 Verfahren für die Evakuierung bei Bedrohungssituationen oder bei Beeinträchtigungen der Gefahrenabwehr;.,en-de,Tax & Financial Regulation,"security, case"
Hearing of the parties and of third persons,Anhörung Beteiligter und Dritter,en-de,Administrative Law,hearing
THE PLATE AND INSCRIPTIONS SHALL BE ATTACHED EITHER BY THE MANUFACTURER OR BY HIS AUTHORIZED REPRESENTATIVE.,Diese Schilder und Angaben sind vom Hersteller oder seinem Beauftragten anzubringen.,en-de,Legal Theory & Latin Terms,"representative, attached"
