legal_term,category
fringe benefit,Legal Theory & Latin Terms
frisk,Legal Theory & Latin Terms
frivolous,Legal Theory & Latin Terms
frolic and detour,Legal Theory & Latin Terms
front pay,Legal Theory & Latin Terms
fruit of the poisonous tree,Legal Theory & Latin Terms
frustration of purpose,Legal Theory & Latin Terms
Frye Standard,Legal Theory & Latin Terms
FSBO,Legal Theory & Latin Terms
FTC,Legal Theory & Latin Terms
FTC franchise rule,Administrative Law
FTCA,Legal Theory & Latin Terms
fugitive from justice,Immigration & Naturalization Law
full disclosure,Legal Theory & Latin Terms
full faith and credit,Constitutional Law
functionality doctrine (trademark),Intellectual Property (IP)
fundamental right,Constitutional Law
funding a trust,Family Law & Estates/Trusts
fungible things,Legal Theory & Latin Terms
Furman v. Georgia (1972),Legal Theory & Latin Terms
further affiant sayeth naught,Legal Theory & Latin Terms
future interest,Legal Theory & Latin Terms
futures contract,Contract Law
GAAP,Legal Theory & Latin Terms
gag order,Legal Theory & Latin Terms
gains,Tax & Financial Regulation
gambling,Legal Theory & Latin Terms
game theory,Legal Theory & Latin Terms
gap filling,Legal Theory & Latin Terms
garageman's lien,Contract Law
garnish,Legal Theory & Latin Terms
garnishee,Legal Theory & Latin Terms
garnishment,Legal Theory & Latin Terms
GATT,Legal Theory & Latin Terms
gender bias,Legal Theory & Latin Terms
gender identity,Legal Theory & Latin Terms
General Agreement on Tariffs and Trade (GATT),Contract Law
general appearance,Legal Theory & Latin Terms
general bequest,Legal Theory & Latin Terms
general counsel,Legal Theory & Latin Terms
general damages,Contract Law
general denial,Legal Theory & Latin Terms
general devise,Legal Theory & Latin Terms
general election,Legal Theory & Latin Terms
general intangible,Legal Theory & Latin Terms
general intent,Legal Theory & Latin Terms
general journal,Legal Theory & Latin Terms
general jurisdiction,Civil Procedure & Litigation
general ledger,Legal Theory & Latin Terms
general partner,Legal Theory & Latin Terms
general plan,Legal Theory & Latin Terms
general power of appointment,Legal Theory & Latin Terms
general power of attorney,Legal Theory & Latin Terms
general verdict,Civil Procedure & Litigation
generation-skipping transfer,Intellectual Property (IP)
generation-skipping transfer tax,Tax & Financial Regulation
generation-skipping trust,Intellectual Property (IP)
generic,Intellectual Property (IP)
genericide,Legal Theory & Latin Terms
Genetic Information Nondiscrimination Act (GINA),Employment & Labor Law
Geneva Conventions and their additional protocols,Family Law & Estates/Trusts
genocide,Legal Theory & Latin Terms
genuine issue of material fact,Legal Theory & Latin Terms
gerrymander,Legal Theory & Latin Terms
getting started as an author,Intellectual Property (IP)
Gibbons v. Ogden (1824),Legal Theory & Latin Terms
Gideon v. Wainwright (1963),Legal Theory & Latin Terms
gift,Tax & Financial Regulation
gift causa mortis,Legal Theory & Latin Terms
gift in contemplation of death,Legal Theory & Latin Terms
gift tax,Tax & Financial Regulation
Gitlow v. New York (1925),Legal Theory & Latin Terms
go bail,Criminal Law & Procedure
going concern,Legal Theory & Latin Terms
going dark,Legal Theory & Latin Terms
going out,Legal Theory & Latin Terms
golden parachute,Securities & Corporate Law
golden rule argument,Administrative Law
Gonzales v. Raich (2005),Legal Theory & Latin Terms
good cause,Legal Theory & Latin Terms
good faith,Contract Law
good faith estimate (GFE),Contract Law
good faith exception to exclusionary rule,Contract Law
Good Samaritan Rule,Administrative Law
good title,Property & Real Estate Law
goods,Legal Theory & Latin Terms
goods and chattels,Property & Real Estate Law
goodwill,Family Law & Estates/Trusts
governing law,Legal Theory & Latin Terms
government,Legal Theory & Latin Terms
Government Accountability Office,Immigration & Naturalization Law
government contracts,Contract Law
government fraud,Criminal Law & Procedure
government speech,Legal Theory & Latin Terms
governmental immunity,Legal Theory & Latin Terms
Grable test,Legal Theory & Latin Terms
grace period,Legal Theory & Latin Terms
Graham v. Florida (2010),Legal Theory & Latin Terms
grand jury,Criminal Law & Procedure
grand jury witness,Criminal Law & Procedure
grand larceny,Criminal Law & Procedure
grand theft,Criminal Law & Procedure
grandfather clause,Legal Theory & Latin Terms
grandfathered in,Legal Theory & Latin Terms
grant,Immigration & Naturalization Law
grant deed,Property & Real Estate Law
grantee,Legal Theory & Latin Terms
grantor,Legal Theory & Latin Terms
grantor-grantee index,Legal Theory & Latin Terms
grantor-retained annuity trust,Family Law & Estates/Trusts
grantor-retained income trust,Family Law & Estates/Trusts
grantor-retained trust,Family Law & Estates/Trusts
grantor-retained unitrust,Family Law & Estates/Trusts
gratuitous,Legal Theory & Latin Terms
gravamen,Legal Theory & Latin Terms
green card,Immigration & Naturalization Law
greenhouse gases,Legal Theory & Latin Terms
greenmail,Legal Theory & Latin Terms
Gregg v. Georgia (1976),Legal Theory & Latin Terms
grievance,Employment & Labor Law
Griggs v. Duke Power Co. (1971),Legal Theory & Latin Terms
Griswold v. Connecticut (1965),Legal Theory & Latin Terms
grooming (exploitation),Legal Theory & Latin Terms
gross estate,Family Law & Estates/Trusts
gross income,Tax & Financial Regulation
gross lease,Property & Real Estate Law
gross negligence,Torts
grounds for divorce,Family Law & Estates/Trusts
group insurance,Legal Theory & Latin Terms
group life insurance,Legal Theory & Latin Terms
Grutter v. Bollinger (2003),Legal Theory & Latin Terms
guarantee,Legal Theory & Latin Terms
guaranteed reservation,Legal Theory & Latin Terms
guaranteed signature,Legal Theory & Latin Terms
guarantor,Legal Theory & Latin Terms
guaranty,Legal Theory & Latin Terms
guardian,Family Law & Estates/Trusts
guardian ad litem,Legal Theory & Latin Terms
guardian of the estate,Family Law & Estates/Trusts
guardian of the person,Legal Theory & Latin Terms
guardianship,Family Law & Estates/Trusts
guest statute,Legal Theory & Latin Terms
guilty,Criminal Law & Procedure
gun jumping,Legal Theory & Latin Terms
H1-B visa,Immigration & Naturalization Law
habeas corpus,Constitutional Law
habeas corpus ad subjiciendum,Constitutional Law
habit evidence,Evidence Law
habitable,Legal Theory & Latin Terms
habitual criminal,Criminal Law & Procedure
hacking,Legal Theory & Latin Terms
half blood,Legal Theory & Latin Terms
Hamdi v. Rumsfeld (2004),Legal Theory & Latin Terms
hanging chad,Legal Theory & Latin Terms
harass,Employment & Labor Law
harassment,Employment & Labor Law
harm,Civil Procedure & Litigation
harmless error,Civil Procedure & Litigation
harmless error rule,Civil Procedure & Litigation
Harvard College & Massachusetts General Hospital v. Armory (1830),Healthcare Law
Hatch Act,Legal Theory & Latin Terms
hate crime,Criminal Law & Procedure
Hate Crimes Act,Criminal Law & Procedure
HAVA,Legal Theory & Latin Terms
hazard insurance,Legal Theory & Latin Terms
head of family,Legal Theory & Latin Terms
head of household,Legal Theory & Latin Terms
head of state,Legal Theory & Latin Terms
headnote,Legal Theory & Latin Terms
health,Healthcare Law
health benefits,Healthcare Law
health care declaration,Healthcare Law
health care directive,Healthcare Law
health care fraud,Criminal Law & Procedure
health care proxy,Securities & Corporate Law
Health Insurance Portability and Accountability Act (HIPAA),Healthcare Law
health maintenance organization (HMO),Healthcare Law
health maintenance organizations,Healthcare Law
hearing,Administrative Law
hearsay,Evidence Law
hearsay rule,Administrative Law
heat of passion,Legal Theory & Latin Terms
heir,Family Law & Estates/Trusts
heir apparent,Family Law & Estates/Trusts
heir at law,Family Law & Estates/Trusts
heir hunter,Family Law & Estates/Trusts
heiress,Family Law & Estates/Trusts
heirs of the body,Family Law & Estates/Trusts
held,Legal Theory & Latin Terms
Help America Vote Act of 2002,Legal Theory & Latin Terms
help-contents,Legal Theory & Latin Terms
help-editing,Legal Theory & Latin Terms
help-style,Legal Theory & Latin Terms
hemp,Legal Theory & Latin Terms
hereditament,Legal Theory & Latin Terms
hereditary succession,Legal Theory & Latin Terms
hidden asset,Legal Theory & Latin Terms
high seas,Legal Theory & Latin Terms
highway,Legal Theory & Latin Terms
highways and motor vehicles,Legal Theory & Latin Terms
hiring firm,Legal Theory & Latin Terms
hiring hall,Legal Theory & Latin Terms
hit and run statute,Legal Theory & Latin Terms
hobby loss,Legal Theory & Latin Terms
hold harmless,Legal Theory & Latin Terms
holder,Securities & Corporate Law
holder in due course,Legal Theory & Latin Terms
holding,Legal Theory & Latin Terms
holding cell,Legal Theory & Latin Terms
holding company,Legal Theory & Latin Terms
holding over,Legal Theory & Latin Terms
holdover tenant,Property & Real Estate Law
Holmes Rule,Administrative Law
holographic will,Family Law & Estates/Trusts
home equity,Legal Theory & Latin Terms
home office,Immigration & Naturalization Law
home rule,Administrative Law
home study,Legal Theory & Latin Terms
home warranty,Contract Law
Homeland Security Act of 2002,Property & Real Estate Law
homeowners' associations (HOAs),Legal Theory & Latin Terms
homestead,Property & Real Estate Law
Homestead Act,Property & Real Estate Law
homestead declaration,Property & Real Estate Law
homestead exemption,Property & Real Estate Law
hometowned,Legal Theory & Latin Terms
homicide,Criminal Law & Procedure
horizontal scheme,Legal Theory & Latin Terms
hornbook law,Legal Theory & Latin Terms
hors de combat,Legal Theory & Latin Terms
hostile possession,Legal Theory & Latin Terms
hostile takeover,Securities & Corporate Law
hostile witness,Criminal Law & Procedure
hostile work environment,Employment & Labor Law
hot cargo clause,Legal Theory & Latin Terms
hot pursuit,Legal Theory & Latin Terms
hotchpot,Legal Theory & Latin Terms
hotel and restaurant law,Legal Theory & Latin Terms
house arrest,Criminal Law & Procedure
house closing,Property & Real Estate Law
house counsel,Legal Theory & Latin Terms
houseburning,Legal Theory & Latin Terms
household,Legal Theory & Latin Terms
householder,Legal Theory & Latin Terms
housekeeper,Legal Theory & Latin Terms
Housing and Urban Development (HUD),Legal Theory & Latin Terms
housing court,Civil Procedure & Litigation
Howey test,Legal Theory & Latin Terms
HTML,Legal Theory & Latin Terms
HTTP,Legal Theory & Latin Terms
HUD,Legal Theory & Latin Terms
HUD-1,Legal Theory & Latin Terms
human rights,Legal Theory & Latin Terms
human trafficking,Legal Theory & Latin Terms
Humphrey’s Executor,Family Law & Estates/Trusts
hung jury,Legal Theory & Latin Terms
"Hustler Magazine, Inc. v. Falwell (1988)",Legal Theory & Latin Terms
hybrid adjustable rate mortgage,Property & Real Estate Law
Hyde Amendment,Constitutional Law
hyperlink,Legal Theory & Latin Terms
hypothecate,Legal Theory & Latin Terms
hypothetical monopolist test,Legal Theory & Latin Terms
I-94 Card,Legal Theory & Latin Terms
i.e.,Legal Theory & Latin Terms
IEP,Legal Theory & Latin Terms
IIED,Legal Theory & Latin Terms
illegal,Immigration & Naturalization Law
illegal immigrant,Immigration & Naturalization Law
Illegal Immigration Reform and Immigrant Responsibility Act,Immigration & Naturalization Law
illicit,Legal Theory & Latin Terms
illusory promise,Legal Theory & Latin Terms
immaterial,Legal Theory & Latin Terms
immediate relative,Legal Theory & Latin Terms
immigrant visa,Immigration & Naturalization Law
immigration,Immigration & Naturalization Law
Immigration and Customs Enforcement (ICE),Immigration & Naturalization Law
Immigration and Naturalization Service (INS),Immigration & Naturalization Law
immunity,Constitutional Law
immunity from prosecution,Criminal Law & Procedure
impairs an exemption,Tax & Financial Regulation
impanel,Legal Theory & Latin Terms
impaneling,Legal Theory & Latin Terms
impeach,Evidence Law
impeachment of a witness,Criminal Law & Procedure
imperialism,Legal Theory & Latin Terms
impleader,Criminal Law & Procedure
implied,Contract Law
implied authority,Intellectual Property (IP)
implied consent,Legal Theory & Latin Terms
implied contract,Contract Law
implied covenant of good faith and fair dealing,Contract Law
implied revocation of wills,Contract Law
implied warranty,Contract Law
implied warranty of fitness,Contract Law
implied warranty of habitability,Contract Law
implied warranty of merchantability,Contract Law
import quota,Legal Theory & Latin Terms
impossibility,Legal Theory & Latin Terms
impotence,Legal Theory & Latin Terms
impound,Legal Theory & Latin Terms
impracticability,Legal Theory & Latin Terms
imprison,Criminal Law & Procedure
improvement,Legal Theory & Latin Terms
impute,Legal Theory & Latin Terms
in absentia,Legal Theory & Latin Terms
in camera,Legal Theory & Latin Terms
in chambers,Legal Theory & Latin Terms
in extremis,Legal Theory & Latin Terms
in forma pauperis,Legal Theory & Latin Terms
in haec verba,Legal Theory & Latin Terms
in lieu,Legal Theory & Latin Terms
in limine,Legal Theory & Latin Terms
in loco parentis,Legal Theory & Latin Terms
in pari delicto,Legal Theory & Latin Terms
in perpetuity,Legal Theory & Latin Terms
in personam,Legal Theory & Latin Terms
in pro per,Legal Theory & Latin Terms
in propria persona,Legal Theory & Latin Terms
in re,Legal Theory & Latin Terms
In re Gault (1967),Legal Theory & Latin Terms
in re:,Legal Theory & Latin Terms
in rem,Legal Theory & Latin Terms
in terrorem clause,Legal Theory & Latin Terms
in toto,Legal Theory & Latin Terms
in-house counsel,Legal Theory & Latin Terms
in-kind,Legal Theory & Latin Terms
in-kind income,Tax & Financial Regulation
in-kind support and maintenance (ISM),Family Law & Estates/Trusts
inadmissible,Evidence Law
inadmissible evidence,Evidence Law
inalienable,Contract Law
inauguration,Legal Theory & Latin Terms
incapacitated,Administrative Law
incapacitation,Administrative Law
incapacity,Administrative Law
incarceration,Criminal Law & Procedure
incentive,Legal Theory & Latin Terms
