source,target,language_pair,Legal_Category
"THE ORGANIZATION BENEFITING FROM THE RELIEF MAY NOT LEND , HIRE OUT OR TRANSFER , WHETHER FOR A CONSIDERATION OR FREE OF CHARGE , THE GOODS AND EQUIPMENT REFERRED TO IN ARTICLE 65 FOR PURPOSES OTHER THAN THOSE LAID DOWN IN PARAGRAPH 1 (A) AND (B) OF THAT ARTICLE WITHOUT PRIOR NOTIFICATION TO THE COMPETENT AUTHORITIES.","DIE IN ARTIKEL 65 GENANNTEN WAREN , AUSRÜSTUNGEN UND MATERIALIEN DÜRFEN VON DEN ORGANISATIONEN , DENEN EINE BEFREIUNG VON DEN EINGANGSABGABEN GEWÄHRT WORDEN IST , NUR ZU DEN ZWECKEN GEMÄß ABSATZ 1 BUCHSTABEN A) UND B) DES GENANNTEN ARTIKELS OHNE VORHERIGE UNTERRICHTUNG DER ZUSTÄNDIGEN BEHÖRDEN VERLIEHEN , VERMIETET , VERÄUßERT ODER ÜBERLASSEN WERDEN.",en-de,Contract Law
"As an exception to the general requirement set out in paragraph 2 above, IAS 12 (revised) prohibits the recognition of deferred tax liabilities and deferred tax assets arising from certain assets or liabilities whose carrying amount differs on initial recognition from their initial tax base.","IAS 12 (überarbeitet) untersagt als Ausnahme zu der im obigen Paragraph 2 beschriebenen generellen Anforderung den Ansatz von latenten Steuerschulden und latenten Steueransprüchen hinsichtlich bestimmter Vermögenswerte oder Schulden, deren Buchwert sich beim erstmaligen Ansatz von dem anfänglichen Steuerwert unterscheidet.",en-de,Tax Law
Detailed plans shall be available to enable a Member State to be prepared for the immediate establishment of local disease control centres in the event of foot-and-mouth disease outbreaks in order to implement disease control and environment protection measures at a local level.,"Die Mitgliedstaaten halten ausführliche Pläne bereit, um bei Ausbruch der MKS unverzüglich lokale Seuchenkontrollzentren zur Durchführung von Bekämpfungs- und Umweltschutzmaßnahmen auf lokaler Ebene einrichten zu können.",en-de,Environmental Law
"Commission Regulation (EC) No 730/2004 of 19 April 2004 adapting Regulation (EEC) No 1859/82 concerning the selection of returning holdings for the purpose of determining incomes of agricultural holdings by reason of the accession of the Czech Republic, Estonia, Cyprus, Latvia, Lithuania, Hungary, Malta, Poland, Slovenia and Slovakia to the European Union","Verordnung (EG) Nr. 730/2004 der Kommission vom 19. April 2004 zur Anpassung der Verordnung (EG) Nr. 1859/82 über die Auswahl der Buchführungsbetriebe zum Zweck der Feststellung der Einkommen in den landwirtschaftlichen Betrieben aufgrund des Beitritts der Tschechischen Republik, Estlands, Zyperns, Lettlands, Litauens, Ungarns, Maltas, Polens, Sloweniens und der Slowakei zur Europäischen Union",en-de,Labor Law
where the conditions laid down by this Directive are not or are no longer satisfied.,Die in dieser Richtlinie festgelegten Bedingungen sind nicht oder nicht mehr erfuellt.,en-de,General Legal
State the timing of physical inventory taking.,Angabe des vorgesehenen Zeitplans für die Aufnahme des realen Bestandes.,en-de,General Legal
Each Member State shall designate one body having responsibility for printing the uniform residence permit.,Jeder Mitgliedstaat bestimmt eine einzige für das Drucken der einheitlichen Aufenthaltstitel zuständige Stelle.,en-de,General Legal
"Regulated market"" shall mean a market as defined by Article 1(13) of Directive 93/22/EEC.","Geregelter Markt"" ist ein Markt im Sinne des Artikels 1 Absatz 13 der Richtlinie 93/22/EWG.",en-de,Constitutional Law
Comparative information is not required.,Vergleichsinformationen werden nicht verlangt.,en-de,General Legal
Regulation (EEC) No 613/91 is hereby amended as follows:,Die Verordnung (EWG) Nr. 613/91 wird wie folgt geändert:,en-de,Administrative Law
Justifications for any such derogations based on plans for the management of water within the area concerned must be communicated to the Commission as soon as possible and not later than six years following the notification of this Directive.,"Die Begründung einer solchen Ausnahme muß der Kommission an Hand eines Plans zur Bewirtschaftung der Gewässer in dem betreffenden Gebiet innerhalb kürzester Zeit, spätestens jedoch binnen sechs Jahren nach Bekanntgabe dieser Richtlinie, mitgeteilt werden.",en-de,General Legal
"the main transport links: - national traffic, where the goods are both loaded and unloaded within the same reporting Member State, irrespective of the route followed by the vessel,","die Hauptverkehrsbeziehungen, und zwar - der innerstaatliche Verkehr, bei dem die Güter innerhalb des meldenden Mitgliedstaats geladen und entladen werden, unabhängig von dem vom Schiff benutzten Weg;",en-de,General Legal
sightings of fishing vessels;,Beobachtungen von Fischereifahrzeugen;,en-de,General Legal
"The smooth functioning of the Agency requires that its Executive Director is appointed on the grounds of merit and documented administrative and managerial skills, as well as competence and experience relevant for network and information security and that he/she performs his/her duties with complete independence and flexibility as to the organisation of the internal functioning of the Agency.","Damit die Agentur einwandfrei funktioniert, ist ihr Direktor aufgrund von Leistung und nachgewiesenen Verwaltungs- und Managementfähigkeiten zu ernennen; der Direktor muss über einschlägigen Sachverstand und Erfahrungen auf dem Gebiet der Netz- und Informationssicherheit verfügen und seine Aufgaben hinsichtlich der Organisation der internen Arbeitsweise der Agentur völlig unabhängig und flexibel wahrnehmen.",en-de,Corporate Law
"vuPartNumber, vuSerialNumber and sensorSerialNumber are the data elements for recording equipment identification.","vuPartNumber, vuSerialNumber und sensorSerialNumber - Datenelemente zur Identifizierung des Kontrollgeräts.",en-de,General Legal
"the recipient Contracting Party shall ensure, in the use of communicated data, a level of protection at least equal to that laid down in its national law for the use of similar data;","Die Verwendung der übermittelten Daten genießt auf dem Hoheitsgebiet der empfangenden Vertragspartei zumindest den Schutz, der aufgrund des Rechts dieser Vertragspartei für eine Verwendung von Daten gleicher Art gilt.",en-de,Contract Law
"Examples of other practical security-related information that may be required as a condition of entry into port in order to assist with ensuring the safety and security of persons, port facilities, ships and other property include:.","Zu den Beispielen für andere praktische, sicherheitsbezogene Angaben, die als Bedingung für die Einfahrt in den Hafen verlangt werden können, um die Sicherheit beziehungsweise Gefahrenabwehr in Bezug auf Personen, Hafenanlagen, Schiffe und anderes Eigentum zu gewährleisten, gehören auch.",en-de,Property Law
The Commission shall inform other Member States and the European Parliament of these decisions.,Die Kommission unterrichtet die anderen Mitgliedstaaten und das Europäische Parlament über diese Entscheidungen.,en-de,General Legal
The Member State concerned shall grant the family members a first residence permit of at least one year's duration.,Der betreffende Mitgliedstaat erteilt den Familienangehörigen einen ersten Aufenthaltstitel mit mindestens einjähriger Gültigkeitsdauer.,en-de,Family Law
land vehicles other than motor vehicles,Landfahrzeugen ohne eigenen Antrieb,en-de,Property Law
The direct process is so called because it produces zinc oxide directly from oxidised zinc materials.,"Das direkte Verfahren verdankt seinen Namen der Tatsache, dass Zinkoxid unmittelbar aus oxidierten zinkhaltigen Materialien gewonnen wird.",en-de,General Legal
"use Km to encrypt motion sensor data requested by motion sensor manufacturers (data to be encrypted with Km is defined in ISO 16844-3),","verschlüsseln mit Km die von den Herstellern der Weg-/Geschwindigkeitsgeber angeforderten Weg-/Geschwindigkeitsgeberdaten (die mit Km zu verschlüsselnden Daten sind ISO 16844-3 festgelegt),",en-de,General Legal
«Declaration of conformity based on quality assurance of final product inspection and testing» is the conformity assessment procedure whereby the manufacturer fulfils the obligations laid down in this Annex and ensures and declares that the measuring instruments concerned are in conformity with the appropriate requirements of this Directive.,"Die «Konformitätserklärung auf der Grundlage der Qualitätssicherung für das Produkt» ist das Konformitätsbewertungsverfahren, bei dem der Hersteller die in diesem Anhang genannten Verpflichtungen erfüllt sowie sicherstellt und erklärt, dass die betreffenden Messgeräte die entsprechenden Anforderungen dieser Richtlinie erfüllen.",en-de,Tax Law
Definitions For the purposes of this Regulation:,BEGRIFFSBESTIMMUNGEN FÜR DIE ANWENDUNG DIESER VERORDNUNG,en-de,Administrative Law
"By way of derogation from the second subparagraph, Member States may take into account in the calculation of the total period referred to in paragraph 1 periods of absence relating to secondment for employment purposes, including the provision of cross-border services.","Abweichend von Unterabsatz 2 können die Mitgliedstaaten Zeiten, in denen der Drittstaatsangehörige sich im Zusammenhang mit einer Entsendung aus beruflichen Gründen, einschließlich im Rahmen einer grenzüberschreitenden Erbringung von Dienstleistungen, nicht in ihrem Hoheitsgebiet aufgehalten hat, in die Berechnung des Zeitraums gemäß Absatz 1 einfließen lassen.",en-de,Labor Law
">PIC FILE= ""L_2004112EN.004201.TIF"">",">PIC FILE= ""L_2004112DE.004201.TIF"">",en-de,General Legal
"Generally the whole plant, except the roots, is harvested and used for fodder.",In der Regel wird die gesamte Pflanze mit Ausnahme der Wurzeln geerntet und verfüttert.,en-de,General Legal
Priority will be given to:,Vorrang erhalten folgende Maßnahmen:,en-de,General Legal
Diagnosis of SVD must be carried out in accordance with Decision 2000/428/EC.,Die Diagnose der VSK erfolgt nach Maßgabe der Entscheidung 2000/428/EG der Kommission.,en-de,General Legal
"This proceeding resulted in provisional anti-dumping duties being imposed in February 2000 against Brazil, the Czech Republic, Japan, the People's Republic of China, the Republic of Korea and Thailand by Regulation (EC) No 449/2000(3) in order to eliminate the injurious effects of dumping.","Aufgrund dieses Verfahrens wurden im Februar 2000 mit der Verordnung (EG) Nr. 449/2000(3) vorläufige Antidumpingzölle gegenüber Brasilien, der Tschechischen Republik, Japan, der Volksrepublik China, der Republik Korea und Thailand eingeführt, um die schädigenden Auswirkungen des Dumpings zu beseitigen.",en-de,Administrative Law
This Decision defines the nature and scope of Community action to establish guidelines for trans-European energy networks.,Diese Entscheidung legt die Natur und den Umfang der Gemeinschaftsaktion zur Erstellung von Leitlinien im Bereich der transeuropäischen Energienetze fest.,en-de,General Legal
Zengo,Zengo,en-de,General Legal
"If not specified, a minimum of two hours is recommended for warming-up the analysers.","Sind dazu keine Angaben vorhanden, so wird für das Beheizen der Analysegeräte eine Mindestzeit von zwei Stunden empfohlen.",en-de,General Legal
The Commission shall decide on the suspension as such and on the duration thereof not later than two weeks after receiving such request.,"Die Kommission faßt über die Aussetzung als solche und über deren Dauer spätestens zwei Wochen, nachdem sie mit dem Antrag befaßt wurde, eine Entscheidung.",en-de,General Legal
Technical and professional capacity of economic operators shall be evaluated and verified in accordance with paragraphs 2 and 3.,Die technische und berufliche Leistungsfähigkeit der Wirtschaftsteilnehmer wird gemäß den Absätzen 2 und 3 überprüft.,en-de,General Legal
Secretariat of the Commission's Scientific Committees,Sekretariat der Wissenschaftlichen Ausschüsse der Kommission,en-de,General Legal
WHERE USE IS MADE OF THIS DEROGATION THAT FACT SHALL BE DISCLOSED IN THE NOTES ON THE CONSOLIDATED ACCOUNTS TOGETHER WITH THE REASONS THEREFOR.,"Wird von dieser Abweichung Gebrauch gemacht, so ist dies im Anhang zum konsolidierten Abschluß anzugeben und hinreichend zu begründen.",en-de,General Legal
"When consulting the scientific advisory groups referred to in Article 56(2), the Committee shall forward to them the draft assessment report(s) drawn up by the rapporteur or the co-rapporteur.",Bei der Konsultation der wissenschaftlichen Beratergruppen gemäß Artikel 56 Absatz 2 übermittelt der Ausschuss diesen Beratergruppen den (die) vom Berichterstatter oder Mitberichterstatter ausgearbeiteten Entwurf (Entwürfe) des Beurteilungsberichts.,en-de,Constitutional Law
"In order to supplement the statistical data on beekeeping, Member States should carry out studies on the structure of the sector, covering production, marketing and price formation.","Um die statistischen Angaben über den Bienenzuchtsektor zu vervollständigen, sollten die Mitgliedstaaten eine Strukturstudie durchführen, die sich sowohl auf die Erzeugung als auch auf die Vermarktung und die Preisbildung in diesem Sektor bezieht.",en-de,General Legal
a Committee of Experts.,einen Sachverständigenausschuß.,en-de,General Legal
"in paragraph 3, the words ""AD 14"" are replaced by ""A*14 or higher"" and the words ""AD 16 or AD 15"" by ""A*16 or A*15"";","Absatz 3 die Angabe ""AD14"" durch die Angabe ""A*14 oder höher"" und die Angabe ""AD16 oder AD15"" durch die Angabe ""A*16 oder A*15"",",en-de,General Legal
